The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,make,0.684,0.480,0.420
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,moment,0.604,0.509,0.435
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,organized,0.816,0.746,0.337
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,powerful,0.865,0.991,0.830
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,show,0.673,0.719,0.771
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,sit,0.561,0.368,0.230
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,sure,0.724,0.793,0.270
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,vote,0.582,0.649,0.500
The first class of Obama Fellows is full of leaders like Keith hardworking innovative and dedicated to partnering with their communities to drive transformational change. ,class,0.656,0.522,0.314
The first class of Obama Fellows is full of leaders like Keith hardworking innovative and dedicated to partnering with their communities to drive transformational change. ,drive,0.625,0.713,0.689
The first class of Obama Fellows is full of leaders like Keith hardworking innovative and dedicated to partnering with their communities to drive transformational change. ,first,0.625,0.788,0.500
The first class of Obama Fellows is full of leaders like Keith hardworking innovative and dedicated to partnering with their communities to drive transformational change. ,full,0.602,0.704,0.255
The first class of Obama Fellows is full of leaders like Keith hardworking innovative and dedicated to partnering with their communities to drive transformational change. ,hardworking,0.719,0.792,0.583
The first class of Obama Fellows is full of leaders like Keith hardworking innovative and dedicated to partnering with their communities to drive transformational change. ,innovative,0.880,0.830,0.640
The first class of Obama Fellows is full of leaders like Keith hardworking innovative and dedicated to partnering with their communities to drive transformational change. ,like,0.719,0.446,0.353
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,act,0.656,0.735,0.704
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,bind,0.398,0.448,0.462
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,can,0.662,0.454,0.360
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,can,opener,0.491,0.444
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,change,0.625,0.606,0.575
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,country,0.698,0.693,0.394
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,defend,0.698,0.670,0.722
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,first,0.625,0.788,0.500
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,honor,0.896,0.857,0.587
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,keep,0.714,0.547,0.296
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,lost,0.199,0.148,0.663
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,no,anticipation,0.480,0.396
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,no,disgust,0.324,0.510
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,no,emotion,0.109,0.170
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,no,sentiment,0.382,0.092
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,no,surprise,0.224,0.171
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,no,trust,0.445,0.055
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,overcome,0.719,0.848,0.689
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,remember,0.776,0.454,0.422
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,resilience,0.531,0.667,0.440
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,resolve,0.710,0.750,0.472
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,safe,0.898,0.759,0.306
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,terror,0.069,0.415,0.902
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,thank,0.958,0.526,0.353
We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,will,0.698,0.735,0.408
Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: ,deliver,0.583,0.582,0.370
Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: ,democracy,0.680,0.840,0.500
Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: ,hope,0.927,0.739,0.317
Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: ,message,0.650,0.415,0.391
Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: ,need,0.510,0.200,0.574
Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: ,people,0.604,0.500,0.400
Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: ,simple,0.653,0.314,0.130
Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: ,tune,0.708,0.426,0.479
Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: ,vote,0.582,0.649,0.500
Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: ,young,0.812,0.537,0.520
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,code,0.583,0.491,0.308
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,cool,0.885,0.781,0.540
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,high,0.684,0.614,0.510
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,high,heels,0.528,0.646
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,invest,0.650,0.682,0.663
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,learning,0.833,0.574,0.588
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,local,0.656,0.452,0.269
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,pretty,0.875,0.561,0.516
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,proud,0.906,0.873,0.700
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,school,0.765,0.633,0.423
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,side,0.439,0.395,0.288
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,some,anticipation,0.482,0.423
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,some,disgust,0.657,0.094
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,some,surprise,0.849,0.827
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,some,trust,0.451,0.594
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,spent,0.296,0.263,0.296
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,summer,0.812,0.550,0.373
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,support,0.811,0.737,0.472
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,young,0.812,0.537,0.520
Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,youth,0.938,0.736,0.608
Congratulations to Hawaii for winning the Little League World Series! You make America very proud. ,make,0.684,0.480,0.420
Congratulations to Hawaii for winning the Little League World Series! You make America very proud. ,very,negative,0.521,0.062
Congratulations to Hawaii for winning the Little League World Series! You make America very proud. ,very,positive,0.551,1.000
Congratulations to Hawaii for winning the Little League World Series! You make America very proud. ,winning,0.955,0.972,0.712
Our statement on the passing of Senator John McCain: ,passing,0.458,0.509,0.298
Our statement on the passing of Senator John McCain: ,statement,0.688,0.825,0.608
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,darkness,0.102,0.418,0.602
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,define,0.688,0.632,0.415
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,eternal,0.854,0.843,0.409
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,feel,0.802,0.596,0.602
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,history,0.729,0.754,0.382
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,light,0.771,0.519,0.320
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,light,year,0.425,0.719
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,pain,0.012,0.395,0.765
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,power,0.719,0.953,0.670
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,quest,0.643,0.545,0.716
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,redemption,0.376,0.545,0.408
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,rest,0.907,0.300,0.167
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,shade,0.388,0.278,0.265
Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,voice,0.594,0.528,0.343
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,acting,0.698,0.500,0.643
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,be,0.670,0.554,0.240
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,can,0.662,0.454,0.360
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,can,opener,0.491,0.444
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,change,0.625,0.606,0.575
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,combine,0.663,0.533,0.442
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,daring,0.583,0.711,0.840
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,different,0.612,0.473,0.394
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,energy,0.944,0.868,0.725
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,idea,0.750,0.704,0.538
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,million,0.776,0.812,0.647
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,one,0.542,0.370,0.292
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,power,0.719,0.953,0.670
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,ultimately,0.385,0.558,0.480
Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,world,0.622,0.750,0.394
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,commitment,0.714,0.843,0.710
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,confident,0.765,0.723,0.324
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,country,0.698,0.693,0.394
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,fairness,0.740,0.552,0.317
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,first,0.625,0.788,0.500
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,fundamental,0.708,0.903,0.422
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,justice,0.760,0.787,0.538
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,love,1.000,0.673,0.519
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,need,0.510,0.200,0.574
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,opportunity,0.938,0.833,0.745
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,responsibility,0.760,0.852,0.500
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,restoring,0.820,0.783,0.490
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,rule,0.567,0.593,0.427
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,standing,0.604,0.425,0.317
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,strengthen,0.802,0.971,0.796
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,together,0.874,0.658,0.392
I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,world,0.622,0.750,0.394
Today I m proud to endorse such a wide and impressive array of Democratic candidates leaders as diverse patriotic and big-hearted as the America they re running to represent: ,array,0.521,0.568,0.396
Today I m proud to endorse such a wide and impressive array of Democratic candidates leaders as diverse patriotic and big-hearted as the America they re running to represent: ,diverse,0.562,0.604,0.519
Today I m proud to endorse such a wide and impressive array of Democratic candidates leaders as diverse patriotic and big-hearted as the America they re running to represent: ,endorse,0.592,0.472,0.392
Today I m proud to endorse such a wide and impressive array of Democratic candidates leaders as diverse patriotic and big-hearted as the America they re running to represent: ,impressive,0.781,0.873,0.830
Today I m proud to endorse such a wide and impressive array of Democratic candidates leaders as diverse patriotic and big-hearted as the America they re running to represent: ,patriotic,0.875,0.933,0.509
Today I m proud to endorse such a wide and impressive array of Democratic candidates leaders as diverse patriotic and big-hearted as the America they re running to represent: ,proud,0.906,0.873,0.700
Today I m proud to endorse such a wide and impressive array of Democratic candidates leaders as diverse patriotic and big-hearted as the America they re running to represent: ,running,0.730,0.442,0.858
Today I m proud to endorse such a wide and impressive array of Democratic candidates leaders as diverse patriotic and big-hearted as the America they re running to represent: ,running,shoes,0.573,0.653
Today I m proud to endorse such a wide and impressive array of Democratic candidates leaders as diverse patriotic and big-hearted as the America they re running to represent: ,wide,0.571,0.472,0.312
Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,action,0.760,0.802,0.898
Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,action,figure,0.774,0.615
Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,change,0.625,0.606,0.575
Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,example,0.542,0.510,0.337
Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,make,0.684,0.480,0.420
Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,peaceful,0.867,0.569,0.108
Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,people,0.604,0.500,0.400
Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,persistence,0.684,0.873,0.611
Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,prosperous,0.948,0.890,0.627
Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,see,0.635,0.312,0.269
Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,world,0.622,0.750,0.394
Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,young,0.812,0.537,0.520
This week I m traveling to Africa for the first time since I left office a continent of wonderful diversity thriving culture and remarkable stories. As I prepare for this trip I wanted to share a list of books that I d recommend for summer reading: ,books,0.729,0.430,0.115
This week I m traveling to Africa for the first time since I left office a continent of wonderful diversity thriving culture and remarkable stories. As I prepare for this trip I wanted to share a list of books that I d recommend for summer reading: ,continent,0.551,0.833,0.373
This week I m traveling to Africa for the first time since I left office a continent of wonderful diversity thriving culture and remarkable stories. As I prepare for this trip I wanted to share a list of books that I d recommend for summer reading: ,culture,0.753,0.675,0.304
This week I m traveling to Africa for the first time since I left office a continent of wonderful diversity thriving culture and remarkable stories. As I prepare for this trip I wanted to share a list of books that I d recommend for summer reading: ,diversity,0.806,0.711,0.472
This week I m traveling to Africa for the first time since I left office a continent of wonderful diversity thriving culture and remarkable stories. As I prepare for this trip I wanted to share a list of books that I d recommend for summer reading: ,first,0.625,0.788,0.500
This week I m traveling to Africa for the first time since I left office a continent of wonderful diversity thriving culture and remarkable stories. As I prepare for this trip I wanted to share a list of books that I d recommend for summer reading: ,left,0.354,0.361,0.370
